original_message,summary,카테고리,감성,전체 감성
진짜 좋아요..잘쓰겠습니다.,"좋음, 만족",사용,사용: 긍정,긍정
제품좋고 배송도 빠르고 친절하시고 너무 좋습니다. 다만 제가 구매확정 늦게 처리해서 너무 죄송합니다. 수고하세요,"좋은 제품, 빠른 배송, 친절한 서비스","제품, 배송, 서비스","제품: 긍정, 배송: 긍정, 서비스: 긍정",긍정
빠른배송 너무나 감사합니다~ ♥♥,빠른 배송,배송,배송: 긍정,긍정
배송빠르게 도착했고 상품저렴하고 만족합니더.가성비로 득템한기분입니다,"빠른 배송, 저렴한 상품, 가성비 만족","배송, 상품","배송: 긍정, 상품: 긍정",긍정
스텐바이미 하나가 있는데 이동중에 가지고 다닐려고 스텐바이미 고 구입했는데 스피커도 업그레이드 되었고 좋네요,"이동성, 스피커 업그레이드, 만족","이동성, 스피커","이동성: 긍정, 스피커: 긍정",긍정
야외용으로 샀는데 활용도가 좋을거 같아요.,활용도 좋음,활용도,활용도: 긍정,긍정
전반적인 사용은 아직전,사용 미정,사용,사용: 중립,중립
나오자마자 고민하다가 라이브 추가할인소식에냅다 질러버리기~ㅋㅋㅋㅋㅋ택배오자마자 바로 캠핑들고오기~ㅋ역시 고민이 무색하게 너무나 좋네여~근데 가방케이스 50프로 쿠폰을 살때같이 주면 참 좋았을텐데....ㅜㅜㅜ한달뒤 순차배송이라 지금 그냥 살까 어찌할까계속 고민 되네여~비싼만큼 애껴주고 오래오래 잘 써볼께여!,"라이브 추가할인, 빠른 배송, 제품 만족, 가방케이스 쿠폰 아쉬움, 순차배송 고민, 고가 제품 애착","할인, 배송, 제품, 쿠폰, 순차배송","할인: 긍정, 배송: 긍정, 제품: 긍정, 쿠폰: 부정, 순차배송: 부정",중립
"정말 고민많이하다가 구매했어요. 후기에 저와비슷하신 분들이 많으신것같더라구요. 구매후에 후회없고, 잘산거같아요 역시 캠핑이나 어디갈때 들고다니기 좋은거같네요.무게는 운동한다생각하셔야할거같아요~아이들이 너무 좋아합니다","고민, 후회 없음, 캠핑, 휴대성, 무게, 아이들 만족","고민, 후회, 캠핑, 휴대성, 무게, 아이들","고민: 중립, 후회: 긍정, 캠핑: 긍정, 휴대성: 긍정, 무게: 부정, 아이들: 긍정",긍정
신랑이 낚시 할때 옆에서 할게없어서 심심했는데^^~~스탠바이미고~~~ 사주면서 같이가자고~~~~생각외로 활용도 넘좋은데요~~~,활용도 좋음,활용도,활용도: 긍정,긍정
스탠바이미 고 음질도 좋고 화질도 적당합니다,"좋은 음질, 적당한 화질","음질, 화질","음질: 긍정, 화질: 긍정",긍정
너무 무거워서 들고 다니기 어려워요,"무거움, 휴대성 불편","무게, 휴대성","무게: 부정, 휴대성: 부정",부정
"나오고 나서부터..엄청 고민했는데 역시 고민은 배송만 늦출뿐이 었네요. 사운드도 짱짱하고 조금 무겁긴한데, 감수하고 사는거니깐 만족합니다!","짱짱한 사운드, 약간 무거움, 만족","사운드, 무게","사운드: 긍정, 무게: 부정",긍정
캠핑가서 유용하게쓰고있어요,유용성,사용,사용: 긍정,긍정
할인된 가격에 구매할 수 있었어서 넘 만족합니다!!,"할인, 만족",가격,가격: 긍정,긍정
"기존에 LG 룸앤티비 2세대 제품을 캠핑용으로 사용중이었으나, 해당제품을 멀리 가져가서 사용하는 바람에 세컨드 TV 용으로 스탠바이미고 를 구매했습니다. 기존 룸앤티비에 비해서 휴대성이 너무좋고, 다만 무거운건 작은 외력에도 떨어지지말라고 한 아이디어라고 생각할게요 ㅎ 4K영상 무리없이 표현해내고,특히나 애플 에어드롭기능도있고, 최고로 맘에든건 음향입니다. 베이스의 묵직함이 얇은 스피커에서 만들어 낸다는게 참 신기하네요^^","휴대성, 4K 영상, 애플 에어드롭, 음향, 베이스 묵직함","휴대성, 영상, 기능, 음향","휴대성: 긍정, 영상: 긍정, 기능: 긍정, 음향: 긍정",긍정
스탠바이미 GO배터리도 생각보다 오래 가서 캠핑가서 쉘터안에 두고 보기에도 참 좋네요~집에서도 방안에서 티비볼때도 좋구요~만능입니다! 강추~~,"긴 배터리 수명, 캠핑, 실내 사용, 만능, 추천","배터리 수명, 캠핑, 실내 사용","배터리 수명: 긍정, 캠핑: 긍정, 실내 사용: 긍정",긍정
너무좋아요~👍강력추천 합니다,강력 추천,추천,추천: 긍정,긍정
배송이 느리지만 제품은 만족합니다.,"느린 배송, 제품 만족","배송, 제품","배송: 부정, 제품: 긍정",중립
잘받았습니다사용해보고 리뷰 쓸께요,빠른 수령,수령,수령: 긍정,긍정
스텐바이미 와 스텐바이미고 랑 고민을 많이했는데 고민한게 후회되네요최고네요다른 곳보다 ssg에서 싸게 구입했어요 ^^,"최고, 저렴한 가격",가격,가격: 긍정,긍정
좀 무겁긴하지만 티비대용으로 쓰기 좋네요..ㅎ,"무거움, 티비 대용 적합","무게, 사용","무게: 부정, 사용: 긍정",중립
룸앤티비를 캠핑용으로 잘 쓰고 있습니다만 3시간동안 무선으로 즐길수 있다기에 구매했는데 만족스럽네요,"캠핑용, 무선, 만족","사용, 무선","사용: 긍정, 무선: 긍정",긍정
룸앤티비를 캠핑용으로 잘 쓰고 있습니다만 3시간동안 무선으로 즐길수 있다기에 구매했는데 만족스럽네요,"캠핑용, 무선, 만족","사용, 무선","사용: 긍정, 무선: 긍정",긍정
스탠바이미 고쓸모가 있으려나 싶었지만너무 너무 만족 합니다충전해서 들고 다니면언제 어디서든 내맘대로 음악이며 영화며시간 장소 구애받지 않고 사용할수 있어요잘 사용할게요,"만족, 휴대성, 자유로운 사용","휴대성, 사용성","휴대성: 긍정, 사용성: 긍정",긍정
실내에서 음향기기로 사용하기 너무 좋은 것 같습니다.,좋은 음향기기,음향기기,음향기기: 긍정,긍정
집에서도 너무 잘 쓰고있습니다!,잘 사용,사용,사용: 긍정,긍정
집에 아이가 있는 캠핑러들의 필수템!,캠핑 필수템,"캠핑, 아이","캠핑: 긍정, 아이: 긍정",긍정
너무 마음에 듭니다ㅎㅎ,마음에 듦,제품,제품: 긍정,긍정
빠른 배송과 아울러 문의를 여러 번 했는데 친절하게 답변해주셔서 감사합니다! 매우 만족합니다.,"빠른 배송, 친절한 답변, 매우 만족","배송, 서비스","배송: 긍정, 서비스: 긍정",긍정
이사하면서 가전제품 새로 싹 구입했습니다 이사전에 사용하던 가전제품도 LG였고 지금의 선택도 LG입니다가전은 역시 LG입니다,"가전제품, LG 선택","가전제품, 브랜드 선택","가전제품: 긍정, 브랜드 선택: 긍정",긍정
돈값을 넘어 신세계를 만나게 되네요...빨리 캠핑장으로 출발하고 싶네요,"신세계, 캠핑 기대","경험, 기대","경험: 긍정, 기대: 긍정",긍정
캠핑가서 틀어주니 딸이 좋아해요,"딸, 만족",사용,사용: 긍정,긍정
빠른배송잘받았고초봄왔고캠핑준비하고있어서잘쓰겠어요,"빠른 배송, 캠핑 준비","배송, 캠핑 준비","배송: 긍정, 캠핑 준비: 긍정",긍정
매장에서 보고 마음에 들어서 온라인으로 구입했습니다. 사실 타사이트 조금 더 저렴한 곳도 있지만공홈에서 구매했어요. 다 좋은데 생각보다 무게가 상당하네요^^; 힘이 센 편인데도 한손으로는 약간 힘들었어요.,"마음에 듦, 무게 상당","구매, 무게","구매: 긍정, 무게: 부정",중립
생각보다 무겁긴해도 크고 너무 좋아요티비가 터치가 되니 너무 편하고여러모로 쓸모가 많네요 감사합니다?,"무거움, 크기, 터치, 편리함, 쓸모 많음","무게, 크기, 터치, 편리함, 쓸모","무게: 부정, 크기: 긍정, 터치: 긍정, 편리함: 긍정, 쓸모: 긍정",긍정
"빠른배송으로 안전하게 잘 받았습니다저희는 아이들 교육상 미디어 노출을 가급적 안하려고 집에 티비가 아에 없습니다 패드류도 일체 사용 안하는 집인데, 영어 노출을 위한 용도 및 카라반 캠핑 갔을 때 가끔씩 사용하기로는 정말 아주 유용하게 사용하고 있습니다. 아이들 자제력에도 도움이 많이 되는거 같습니다 알아서 끄는것도 잘하구요 스피커도 훌륭하고 화질도 아주 좋습니다","빠른 배송, 교육용, 캠핑용, 자제력 도움, 훌륭한 스피커, 좋은 화질","배송, 용도, 자제력, 스피커, 화질","배송: 긍정, 용도: 긍정, 자제력: 긍정, 스피커: 긍정, 화질: 긍정",긍정
빠른배송 감사합니다. 예상은했지만 엄청크네요ㅎㅎ잘쓰겠습니다!,"빠른 배송, 큰 크기","배송, 크기","배송: 긍정, 크기: 긍정",긍정
너무 갖고 싶던건데 너무 좋아요얼른 캠핑가야겠어요기능도 다양하네요,"좋은 제품, 다양한 기능","제품, 기능","제품: 긍정, 기능: 긍정",긍정
배송도 엄청 빠르고 화질도 좋구 사운드도 좋구 구매하길 잘했네요~~,"빠른 배송, 좋은 화질, 좋은 사운드, 만족스러운 구매","배송, 화질, 사운드, 구매","배송: 긍정, 화질: 긍정, 사운드: 긍정, 구매: 긍정",긍정
가족캠핑을 다니는데 넘 편리하네여^^ 고민고민하다가 구매했는데 진즉에 샀음 좋았겠다는 생각이 들었어요...이제 빔을 따로 안가지규 다녀도 되니 간편해졌어요구매한거 후회 절대 없어요!!!,"편리함, 간편함, 후회 없음","편리함, 간편함, 후회 없음","편리함: 긍정, 간편함: 긍정, 후회 없음: 긍정",긍정
계속 구입하려고 여기저기 알아보고있었어요~때마침 기회가되서 구입하게되었고~만족도가 굉장히 높습니다~잘쓸께요~~,"높은 만족도, 좋은 기회","구입, 만족도","구입: 긍정, 만족도: 긍정",긍정
배송 빠르고 너무 즇습니다,"빠른 배송, 만족",배송,배송: 긍정,긍정
이상없이 잘 받았습니다,이상 없음,배송,배송: 긍정,긍정
집에 TV없이 지낸지 10년째..스탠마이미고 할인소식에 충동구매했습니다. 급하게 선택한 것에 대해 후회가 잠깐 들려던 찰나에 스탠바이미고로 축구경기 보는 순간만족도 백배됐어요!매번 경기를 작은 화면으로만 보다가 큼지막한 화면으로 보니 너무 좋아요!,"할인, 충동구매, 만족, 큰 화면","할인, 구매, 화면","할인: 긍정, 구매: 긍정, 화면: 긍정",긍정
너무 만족함. 무게가 물론 무겁지만 이렇게 재밋고 귀여운 제품은 없음,"무거움, 재미, 귀여움, 만족","무게, 디자인, 제품","무게: 부정, 디자인: 긍정, 제품: 긍정",긍정
터치도되고 게임도되고 너무좋아요티비블러스 컴퓨터네요^^아이들하고 캠핑할때 필수품되겠어요~,"터치 기능, 게임 가능, 캠핑 필수품","터치 기능, 게임 가능, 캠핑 필수품","터치 기능: 긍정, 게임 가능: 긍정, 캠핑 필수품: 긍정",긍정
배송빠르고 좋아요~~~~~~~~~~~~~~~~,"빠른 배송, 만족",배송,배송: 긍정,긍정
부모님이 캠핑 좋아하셔서 캠핑용으로 구매했는데받고보니 너무 무거워서 손이 잘 안가긴해요ㅠ튼튼한데 너무 무겁습니다ㅠㅠㅠ근데 불멍 영상 틀어놓으면 힐링 그 자체네여 ㅋㅋ,"무거움, 튼튼함, 힐링","무게, 내구성, 힐링","무게: 부정, 내구성: 긍정, 힐링: 긍정",중립
빠른배송과 안전배송 거기에다 싼가격.아주 좋아요~잘사용 하겠습니다.,"빠른 배송, 안전 배송, 싼 가격, 만족","배송, 가격","배송: 긍정, 가격: 긍정",긍정
아주 만족합니다^^ 추천합니다,"만족, 추천",추천,추천: 긍정,긍정
배송빠르네요 감사합니다,빠른 배송,배송,배송: 긍정,긍정
배송빠르게 잘 받았습니다.제품 이상 없고 좋습니다.많이 파세요~!,"빠른 배송, 제품 만족","배송, 제품","배송: 긍정, 제품: 긍정",긍정
여러가지 모두 만족합니다,만족,모두,모두: 긍정,긍정
괜찮은 제품입니다.,괜찮은 제품,제품,제품: 긍정,긍정
정말 보기도 편하고 휴대하기도 좋고 음악플레이할때 음질도 좋아 아주 만족하고 있어요*^^*,"편리함, 휴대성, 좋은 음질, 만족","편리함, 휴대성, 음질","편리함: 긍정, 휴대성: 긍정, 음질: 긍정",긍정
아주 싸게사서 좋네유~,저렴한 가격,가격,가격: 긍정,긍정
아직 택배박스를 뜯어 보진않았지만 배송가시님이 직접 오셔서 상세하게 설명도 해드리고 좋았습니다~~,"상세 설명, 좋은 서비스","배송, 서비스","배송: 긍정, 서비스: 긍정",긍정
"이동이 가능하다는 점과 식탁이나 책상등의 위에 올리고 볼 수 있어 공간을 적게 차지하는게 장점, 무거움+아쉬운 화질+배터리용량(3시간 정도)+다소 높은 가격 등이 단점입니다 큰 아쉬움은 없이 문안하게 쓰고 있지만 단점들이 개선되길 바래봅니다","이동 가능, 공간 절약, 무거움, 아쉬운 화질, 짧은 배터리, 높은 가격","이동성, 공간 절약, 무게, 화질, 배터리, 가격","이동성: 긍정, 공간 절약: 긍정, 무게: 부정, 화질: 부정, 배터리: 부정, 가격: 부정",부정
캠핑용으로 정말 딱인거 같아요. ^^여러 후기들 보고 솔직히 무게때문에 걱정 많이 했는데 TV에 배터리 생각하면 이해가 갑니다. ^^,"캠핑용, 무게 걱정, 배터리 이해","캠핑용, 무게, 배터리","캠핑용: 긍정, 무게: 부정, 배터리: 긍정",중립
가성비좋은제품 저렴히 구매했습니다 감사합니다 감사합니다,"가성비 좋은 제품, 저렴한 가격","제품, 가격","제품: 긍정, 가격: 긍정",긍정
무겁긴한데 이동이 되어 너무 좋습니다.화질도 좋고요,"이동성, 좋은 화질","이동성, 화질","이동성: 긍정, 화질: 긍정",긍정
빠른배송과 가격도 저렴하네요,"빠른 배송, 저렴한 가격","배송, 가격","배송: 긍정, 가격: 긍정",긍정
감사합니다 많이 파셔유,감사 인사,감사 인사,감사 인사: 긍정,긍정
베송이 빨르고 배송사원분들도 친절해서 좋았어요,"빠른 배송, 친절한 배송사원","배송, 배송사원","배송: 긍정, 배송사원: 긍정",긍정
생각보다 무게가 좀 나가긴 하지만 정말 좋아요!(여성분들이 들고다니기엔 좀 힘들 듯 합니다!)화면이 크고 소리도 잘 들리고 리모콘 및 OTT연동도 잘되어서 유용하게 쓰일것 같습니다! 감사합니다~,"무거움, 큰 화면, 좋은 소리, 리모콘 및 OTT 연동, 유용함","무게, 화면, 소리, 리모콘 및 OTT 연동","무게: 부정, 화면: 긍정, 소리: 긍정, 리모콘 및 OTT 연동: 긍정",긍정
아직사용전이라 사용후 후기 올릴게요,사용 전,사용,사용: 중립,중립
맘에드는 상품사서 맘에들어오!!!완전좋아요,"만족, 좋음",상품,상품: 긍정,긍정
캠핑족 필수템 조카 넘 좋아해서 뿌듯합니다근데 무겁긴해요,"캠핑 필수템, 무거움","캠핑, 무게","캠핑: 긍정, 무게: 부정",중립
빠른 배송 감사합니다 잘받아서 캠핑장에서 사용중입니다 무거운거 빼고 최고입니다 ㅎ,"빠른 배송, 캠핑, 무거움","배송, 사용, 무게","배송: 긍정, 사용: 긍정, 무게: 부정",긍정
만족합니다. 만족합니다,만족,서비스,서비스: 긍정,긍정
배송 빠르고 가격 좋아요,"빠른 배송, 좋은 가격","배송, 가격","배송: 긍정, 가격: 긍정",긍정
빠른배송 감사합니다^^,빠른 배송,배송,배송: 긍정,긍정
캠핑에 쓸려고 구매했습니다.,캠핑용 구매,구매,구매: 긍정,긍정
"캠핑을 다니면서 빔은 선명도가 약하고, 노트북은 화면이 작아 아쉬웠는데, 적당한 사이즈와 극강의 화질에 놀랐습니다. 터치스크린도 너무 편하고, 케이스 만듬새도 좋아서 심리적으로도 안정감을 줍니다. 집에서 아이와 게임을 해보니 너무좋아서 빨리 캠핑을 가자고 하네요. 그리고, 기본 탑재된 힐링영상이 해상도가 높아서 실제 같습니다. 스피커 성능도 좋아서 실제로 장작이 타고있는거 같아요. 오늘은 집에서 불멍하며 혼술한잔 하려합니다 ㅎㅎ 다음 캠핑이 너무 기대되네요~!!","적당한 사이즈, 극강의 화질, 편리한 터치스크린, 좋은 케이스 만듬새, 높은 해상도 힐링영상, 좋은 스피커 성능, 캠핑 기대","사이즈, 화질, 터치스크린, 케이스 만듬새, 힐링영상 해상도, 스피커 성능, 캠핑 기대","사이즈: 긍정, 화질: 긍정, 터치스크린: 긍정, 케이스 만듬새: 긍정, 힐링영상 해상도: 긍정, 스피커 성능: 긍정, 캠핑 기대: 긍정",긍정
배송빠르고 배송해주시는분은 친절하이고 약할거 같지만 튼튼하고 좋아요 동영상도 잘나오고 특히나 무선으로 들고 다니면서 큰소리로 영상을 볼수 있는게 너무 좋습니다..단점은 정말 무겁다...성능은 폰이나 태블릿으로 생각하고 사용하시면 조금 답답하고 어플은 기본어플빼곤 거의없다..네요 그래도 낚시나 캠핑 여행갈때 항상들고 다닐수 있어서 너무 좋습니다~~~~,"빠른 배송, 친절한 배송, 튼튼함, 무선 사용, 큰 소리, 무거움, 기본 어플 부족, 휴대성 좋음","배송, 배송자, 제품 내구성, 무선 사용, 소리, 무게, 어플, 휴대성","배송: 긍정, 배송자: 긍정, 제품 내구성: 긍정, 무선 사용: 긍정, 소리: 긍정, 무게: 부정, 어플: 부정, 휴대성: 긍정",긍정
"고민하다가 결국 구매했습니다.흠집 하나 없이 빠르게 배송되었구요!음질, 화질을 비롯해서 너무너무 만족스럽습니다!!차박하러 갈때가 벌써 기대가되네요ㅎㅎ","빠른 배송, 음질 만족, 화질 만족, 기대감","배송, 음질, 화질","배송: 긍정, 음질: 긍정, 화질: 긍정",긍정
차박할때 사용하려고 샀는데 안방에두고 잠안올때 장작때는 사운드 들으면서 잠들기도하고 남편이랑 맥주한잔 마시면서 듣기도하고 가격대비 가성비 짱입니다,"차박, 장작 사운드, 가성비","차박, 장작 사운드, 가격","차박: 긍정, 장작 사운드: 긍정, 가격: 긍정",긍정
"다양한 장소에서 사용할 수 있을듯 하나, 생각 보다 무겁네요.","다양한 장소, 무거움","장소, 무게","장소: 긍정, 무게: 부정",중립
캠핑으로사용하기좋아요~^^성능도좋고화질도좋네요Good^^,"캠핑 적합, 좋은 성능, 좋은 화질","사용, 성능, 화질","사용: 긍정, 성능: 긍정, 화질: 긍정",긍정
생각보다무겁지만 넘좋아요~~♡♡♡♡,무겁지만 좋음,"무게, 품질","무게: 부정, 품질: 긍정",중립
아이방에 두고 보기도 좋고 캠핑용이나 이동시 유용하게 잘쓸듯해요,"아이방, 캠핑용, 이동용, 유용","아이방, 캠핑용, 이동용","아이방: 긍정, 캠핑용: 긍정, 이동용: 긍정",긍정
배송기사님도 친절하고 물건 잘 받았습니다.,"친절한 배송기사, 물건 수령","배송기사, 물건 수령","배송기사: 긍정, 물건 수령: 긍정",긍정
좋아요 아주 좋아요 좋아요 너무 좋아요 좋아요 ㅎㅎ 좋아요 좋아요 ㅎㅎ 좋아요 좋아요 ㅎㅎ 좋아요 좋아요 ㅎㅎ 좋아요 좋아요 ㅎㅎ 좋아요 좋아요 ㅎㅎ 좋아요 좋아요,매우 만족,만족도,만족도: 긍정,긍정
캠핑 갈때 들고 다니는 사람들이 많아서 구입하고 싶었는데 좋은 가격으로 행사 하길래 구매 했습니다 예약 배송일 맞춰서 잘 배송해주셨습니다 좋은 제품 빠른 배송 감사합니다 캠핑장 가서 쓰면 또 후기 남길께요,"좋은 가격, 빠른 배송, 좋은 제품","가격, 배송, 제품","가격: 긍정, 배송: 긍정, 제품: 긍정",긍정
"평소 갖고 싶던 스탠바이미 GO,지마켓 디지털가전 특가로 구매하게 되었어요~LG가전 배송기사님이 빠르고 안전하게 배송해 주셨고,화질도 좋고, 음질도 완전 좋아요~매우 만족입니다~집에서도 활용도 만점이지만 차박할 때 가지고 가면 최고일 것 같아요~","특가 구매, 빠른 배송, 안전한 배송, 좋은 화질, 좋은 음질, 높은 활용도, 매우 만족","구매, 배송, 화질, 음질, 활용도","구매: 긍정, 배송: 긍정, 화질: 긍정, 음질: 긍정, 활용도: 긍정",긍정
엘피 감성 디자인 너무 이쁘고 좋은거 같아요,"엘피 감성, 이쁜 디자인",디자인,디자인: 긍정,긍정
와 빔프로젝터쓰다가 이거 바꾸니깐 신세계네요!!!!터치반응속도무슨일인가요!!!!!첨부터이거사자했는데 신랑이비싸다고 빔샀다가 캠핑가서 제대로 틀어본적이없어서 짜증나서 제가 걍 질러버렸는데 신랑 틀어보자마자 완전좋다고 빔팔아버린다네요🤣🤣 이번주 캠핑이 기대됩니다!!!!!!😁😁😁😁😁,"신세계, 빠른 터치반응, 캠핑 기대","터치반응, 캠핑","터치반응: 긍정, 캠핑: 긍정",긍정
결혼 하면서 가장 가지고 싶었던 스텐바이미go이번에 신랑 생일을 계기로 사게 되었습니다원래는 스텐바이미가 너무 가지고 싶었는데 대형견과 함께 있어서 못 사고 있었는데 스텐바이미go는 애들과 함께도 사용이 가능하여서 너무 좋네요 덕분에 더욱 즐거운 하루하루를 보낼 수 있게 되었습니다다들 캠핑용으로 쓰는데 저희는 침대에 누워서 보는 용도로 많이 쓸거 같아요 바닥생활을 하는 저희에겐 딱이네요 좋은 제품 너무 감사합니다게임 좋아하는 저희 부부는 닌텐도 연결해서도 사용 합니다 너무 좋아요더욱 행복한 하루 보낼께요,"스탠바이미go, 대형견, 침대용, 바닥생활, 닌텐도 연결, 행복","제품, 사용성, 용도, 연결성","제품: 긍정, 사용성: 긍정, 용도: 긍정, 연결성: 긍정",긍정
캠핑의 즐거움이 배로 좋아졌어요 최곱니다,"캠핑 즐거움, 최고",캠핑,캠핑: 긍정,긍정
아이들이 할수 있는 게임도 있고이동이가능하여 캠핑할때 들고다니기도 좋을것 같습니다사운드도 좋아서 노래듣기도 좋습니다,"이동 가능, 캠핑 적합, 좋은 사운드","이동성, 캠핑 적합성, 사운드","이동성: 긍정, 캠핑 적합성: 긍정, 사운드: 긍정",긍정
무선으로 볼수있어서 너무좋아요,"무선, 편리함",무선,무선: 긍정,긍정
.,내용 없음,배송,배송: 긍정,긍정
조금 무겁긴 하지만 만족스럽습니다.,무겁지만 만족,"무게, 만족","무게: 부정, 만족: 긍정",중립
배송기사님아 안전하게 배송해주셨고깔끔하고 너무이뻐요~,"안전한 배송, 깔끔, 예쁨","배송, 외관","배송: 긍정, 외관: 긍정",긍정
잘 사용하고 있습니다 가족이 모두 잘 사용하고 있습니다,"가족 만족, 잘 사용",사용,사용: 긍정,긍정
"하도 시간끌기에 나서는 업자들이 많아서리 걱정했는데, 이곳은 배송요청한 지 사나흘만에 도착했네요. 고맙습니다. 건승하세요.",빠른 배송,배송,배송: 긍정,긍정
덕분에 와이프생일날 맞춰서 줄수 있엇네요 감사합니다,"생일 선물, 감사","선물, 감사","선물: 긍정, 감사: 긍정",긍정
배송 빠르고 저렴하게 잘 샀습니다.많이 파세요~,"빠른 배송, 저렴한 가격","배송, 가격","배송: 긍정, 가격: 긍정",긍정
좋습니다^^ 편하고 화질도 좋아요,"편리함, 좋은 화질","편리함, 화질","편리함: 긍정, 화질: 긍정",긍정
상품 빠르게 잘 받았습니다.LG기사님이 직접 배송해주셨고 아직까진 상품에 문제는 발견되지 않았네요.,"빠른 배송, 문제 없음","배송, 상품","배송: 긍정, 상품: 긍정",긍정
배송 빠릅니다,빠른 배송,배송,배송: 긍정,긍정
배송빠르고 안전하게 기사님이직접배송해서 좋았습니다,"빠른 배송, 안전한 배송, 직접 배송",배송,배송: 긍정,긍정
생각보다 무거워요!!하지만 그만큼 좋아요,"무거움, 좋음","무게, 품질","무게: 부정, 품질: 긍정",중립
잘 구매했습니다.,만족,구매,구매: 긍정,긍정
저렴하게 잘 구입했어요~~,저렴한 가격,가격,가격: 긍정,긍정
감사합니다 많이 파세용,"감사, 권장","감사, 권장","감사: 긍정, 권장: 긍정",긍정
안전히 배송해주셔서 감사합니다.,안전한 배송,배송,배송: 긍정,긍정
사용해보니 너무만족스러워요스텐바이미GO를선택한건 이동이 가능하다는거인데 집안에서도이곳저곳가능하고 캠핑장에서도 가능하다는점이 제일좋았습니다. 화질도 선명하고 사운드도 만족합니다.음악들을때도 분위기도 있고 소리가너무좋았습니다. 스피커성능이 좋아요애니메이션 보는데 선명한화질도 좋았습니다.그런데 하나 아쉬운게있다면 외관이 서류가방같아서 닫아놓으면 예쁘지는 않는거같아요. 열어놨을때는 괜잖아보입니다. 외관도 튼튼하면서 예쁘면 더 좋을것같아요^^,"이동성, 선명한 화질, 좋은 사운드, 스피커 성능, 외관 아쉬움","이동성, 화질, 사운드, 스피커 성능, 외관","이동성: 긍정, 화질: 긍정, 사운드: 긍정, 스피커 성능: 긍정, 외관: 부정",긍정
아주 잘 사용하고있어요,사용 만족,사용,사용: 긍정,긍정
잘 받았습니다. 설 연휴가 껴서 좀 늦게 받긴 했지만 만족스럽네요.,"만족, 설 연휴, 늦은 배송",배송,배송: 부정,부정
캠핑에 사용하려 구매했는데 만족합니다.^^,"캠핑, 만족",사용,사용: 긍정,긍정
빠른 배송 감사합니다. 제품 받고 캠핑가서 잘 사용했습니다.,"빠른 배송, 캠핑 사용","배송, 사용","배송: 긍정, 사용: 긍정",긍정
스탠바이미도 있는데 Go가 기능이 더 좋네요 ㅎ설치가 필요없어서 배송만 해주고 가시고 수령은 3일걸림요~,"기능 우수, 설치 불필요, 빠른 수령","기능, 설치, 배송","기능: 긍정, 설치: 긍정, 배송: 긍정",긍정
비쌌지만 캠핑갈때마다 뽕뽑고 있습니다,"높은 가격, 높은 활용도","가격, 활용도","가격: 부정, 활용도: 긍정",중립
현재까지 써본 결과는 좀 무겁고 사용시간이 생각보다 짧다라는 생각이네요,"무거움, 짧은 사용시간","무게, 사용시간","무게: 부정, 사용시간: 부정",부정
좋은 상품 빠른배송 감사합니다.,"좋은 상품, 빠른 배송","상품, 배송","상품: 긍정, 배송: 긍정",긍정
자꾸 구매후기를 강요하시니 좀 그렇네요어찌되었든 물건 받았고 구매후기도 남깁니다,"구매후기 강요, 물건 수령","구매후기, 물건 수령","구매후기: 부정, 물건 수령: 중립",부정
휴대해서 사용하기 좋아요.,휴대성 좋음,휴대성,휴대성: 긍정,긍정
좋아요 추천입니다.,"좋아요, 추천",추천,추천: 긍정,긍정
놀러갈 때나 집에서 서로 다른 티비 보고싶을 때 사용하고 싶어 구매했는데 너무 좋아요~!! 화질도 너무 좋고 음질도 훌륭합니다!! 게임이 좀 더 추가되면 좋겠어요~ 아이도 오자마자 리모컨 만져보며 좋아하네요^^,"좋은 화질, 훌륭한 음질, 게임 추가 희망, 아이 만족","화질, 음질, 기능, 사용자 만족","화질: 긍정, 음질: 긍정, 기능: 부정, 사용자 만족: 긍정",긍정
너무갖고싶었는데 완젼만족합니다,완전 만족,제품,제품: 긍정,긍정
캠핑 갈때 빔이나 노트북 들고 다녔는데 이것저것 챙기기도 힘들고 해서 구매했어요. 스피커도 빵빵하고 충전기나 리모컨도 다 안에 있으니 스탠바이미고만 챙기면 되네요. 덕분에 축구도 잘봤어요:) 첫개시와 함께 한국 vs 호주 축구도 우승에 행복한 캠핑이었습니다. 안에 브루마블이나 틀린그림 찾기도 있어서 틈틈히 잘썼네요. 부피가 크고 무겁긴 하지만 완전 만족입니다♥️,"편리한 휴대성, 스피커 성능, 다양한 기능, 만족","휴대성, 스피커 성능, 기능","휴대성: 긍정, 스피커 성능: 긍정, 기능: 긍정",긍정
캠핑에서 활용도가 매우 좋음,높은 활용도,활용도,활용도: 긍정,긍정
화면도 크고 편의성도 좋네요ㅎ다만 리뷰대로 무겁네요~,"큰 화면, 좋은 편의성, 무거움","화면, 편의성, 무게","화면: 긍정, 편의성: 긍정, 무게: 부정",중립
